,materials id,K_VRH,G_VRH
119,mp-998418,81.78294373,30.96404076
120,mp-19717,31.18891144,8.697780609
121,mp-977128,186.5820618,91.68016052
122,mp-1025182,63.45652389999999,46.35906982
123,mp-1475,145.4486694,139.911026
124,mp-997085,77.59960175,38.08777618
125,mp-780880,44.88559341,18.24533463
126,mp-29621,24.76856232,16.75151443
127,mp-776952,35.17372894,21.86281967
128,mp-30337,107.67149350000001,72.63449859999999
129,mp-3163,118.28266909999999,60.17092896
130,mp-81,153.7287445,14.70730972
131,mp-7482,37.175743100000005,18.35772324
132,mp-3032,16.4691925,11.30929565
133,mp-28945,67.39292908,45.879074100000004
134,mp-11816,32.98345947,22.2775383
135,mp-20363,101.4181061,39.36948395
136,mp-867107,273.980011,121.93505859999999
137,mp-11984,46.89710999,30.39206886
138,mp-20067,60.59545898,32.79018402
139,mp-11507,212.53724669999997,101.77529140000001
140,mp-4730,22.20920563,20.17346573
141,mp-11658,41.38457489,20.36134338
142,mp-1039447,24.42314911,21.44848251
143,mp-9562,50.32647324,32.04916382
144,mp-862364,147.3337708,57.600082400000005
145,mp-961684,16.47429657,22.77464676
146,mp-1018154,123.41062930000001,46.0921936
147,mp-10597,82.86108398,23.11617661
148,mp-997037,108.83512879999999,24.35573196
149,mp-675271,17.90400696,10.27092743
150,mp-1500,25.9189682,19.24690247
151,mp-8145,104.6622696,47.84023666
152,mp-20027,146.9614258,134.2510681
153,mp-7473,100.9352264,50.35189819
154,mp-1077,294.00827030000005,190.816803
155,mp-753712,47.33602524,32.09870911
156,mp-7955,19.50338745,16.2193718
157,mp-13450,101.0148087,56.24142838
158,mp-2577,236.658371,129.87503049999998
159,mp-20466,124.28223419999999,48.46668243
160,mp-865592,85.3968811,43.6978035
161,mp-974616,237.371994,91.79409027
162,mp-30245,71.088974,39.01091766
163,mp-1025356,200.27735900000002,63.62326813
164,mp-17783,48.42492294,28.21316338
165,mp-753,50.84144974,22.09456253
166,mp-866082,74.78662872,32.03040314
167,mp-37214,155.1674042,72.10550690000001
168,mp-27689,7.0244598389999995,3.7020378110000003
169,mp-21340,180.36703490000002,67.61361694
170,mp-1025192,263.1056519,137.874176
171,mp-862259,59.88802719,52.57618713
172,mp-7421,16.55847931,15.78654861
173,mp-3349,153.2876434,73.43183899
174,mp-755544,116.25774380000001,44.22185516
175,mp-21765,64.49349976,29.74253464
176,mp-989642,24.31787872,14.65686798
177,mp-865496,307.4604492,193.60116580000002
178,mp-865011,190.88250730000001,94.39971924
179,mp-1025377,0.759063721,11.80558777
180,mp-556536,49.56182098,29.84259987
181,mp-3210,104.2430954,66.63954163
182,mp-997098,136.71482849999998,24.10319901
183,mp-815,179.1686707,69.60114288
184,mp-1565,201.8101196,90.26393890000001
185,mp-631473,53.38371658,23.99226761
186,mp-1222,185.79933169999998,163.70159909999998
187,mp-30875,124.6419373,51.80938339
188,mp-30477,26.490707399999998,23.95192719
189,mvc-3672,121.4599152,63.11239624
190,mp-11190,179.6816101,146.7989197
191,mp-982070,278.76312260000003,140.0084534
192,mp-2097,72.75802612,33.14068604
193,mp-811,165.3404236,55.32529831
194,mp-1649,176.875885,70.15663147
195,mp-29145,11.39227295,7.278175354
196,mp-1017629,94.32115173,56.29308319
197,mp-1029633,79.30384827,41.440979
198,mp-15964,119.25955959999999,51.80708694
199,mp-30406,39.22302246,18.32651138
200,mp-2716,163.95654299999998,49.94844818
