material_id,MagpieData minimum Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData range AtomicWeight,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,std_dev oxidation state,elasticity.G_VRH predicted
mp-861641,22.0,19.25,43.0,58.0,15.0,49.5,6.5,138.34,3459.0,1691.0,2277.25,590.875,6.0,4.5,34.0,149.25,11.625,160.0,0.3599999999999999,1.7149999999999999,7.0,4.0,2.0,21.0,17.0,9.5,5.75,0.0,6.0,3.0,6.0,2.0,8.0,16.69,14.57,2.1625000000000005,16.69,0.0,194.0,0.0,93.09829943622614
mp-1008805,6.0,30.666666666666668,54.0,77.0,23.0,69.33333333333333,10.222222222222223,174.1963,3823.0,364.0,3701.6666666666665,161.77777777777783,11.666666666666666,3.3333333333333335,75.0,101.0,33.333333333333336,76.0,0.6499999999999999,2.3333333333333335,5.0,1.6666666666666667,2.222222222222222,21.0,17.0,9.666666666666666,7.5555555555555545,2.6666666666666665,1.6666666666666667,4.0,4.333333333333333,0.44444444444444436,4.0,14.655,8.645,4.006666666666667,5.64,2.9973333333333336,194.0,5.291502622129181,134.46915444051177
mp-642659,1.0,9.777777777777779,46.0,92.0,46.0,61.333333333333336,20.444444444444446,49.93356,2183.0,2168.99,1460.0033333333333,963.9955555555556,3.6666666666666665,3.0,122.0,112.33333333333333,54.22222222222223,153.0,0.5700000000000003,1.82,3.0,2.0,1.3333333333333333,5.0,4.0,3.6666666666666665,1.777777777777778,0.0,4.666666666666667,1.0,5.0,2.6666666666666665,7.0,13.01,10.878333333333332,2.8422222222222224,13.01,2.6176666666666666,217.33333333333334,0.0,52.0
mp-30307,45.0,13.111111111111109,31.0,86.0,55.0,58.666666666666664,18.444444444444446,106.0749,2237.0,1692.6,1488.8,629.6,9.0,5.666666666666667,50.0,160.66666666666666,20.888888888888886,142.0,1.0599999999999998,1.8399999999999999,10.0,6.0,4.0,29.0,20.0,16.666666666666668,8.222222222222223,1.0,0.6666666666666666,3.0,3.3333333333333335,0.4444444444444445,3.0,32.95,25.94333333333333,8.202222222222224,13.64,0.0,143.66666666666666,0.0,42.13183797334007
mp-4200,8.0,4.444444444444445,11.0,87.0,76.0,73.66666666666667,20.888888888888886,28.956511999999996,1814.0,1759.2,391.75,474.0833333333333,13.666666666666666,2.5,104.0,90.16666666666667,32.22222222222222,66.0,2.08,2.885,1.0,0.16666666666666666,0.27777777777777773,6.0,3.0,5.333333333333333,0.888888888888889,1.8333333333333333,1.5,2.0,3.3333333333333335,1.888888888888889,2.0,22.5702380952,13.537539682533334,5.9100529100444446,9.105,0.2708333333333333,40.666666666666664,4.0824829046386295,88.13697265217414
mp-12266,9.0,6.888888888888888,7.0,93.0,86.0,73.83333333333333,25.555555555555557,44.5475968,1357.77,1304.27,447.795,525.7266666666666,13.5,2.6666666666666665,119.0,89.33333333333333,43.11111111111111,57.0,2.98,3.1366666666666667,10.0,1.6666666666666667,2.777777777777778,11.0,9.0,6.833333333333333,1.6111111111111114,0.6666666666666666,0.0,0.0,0.8333333333333334,0.27777777777777773,1.0,37.77,14.611666666666666,7.719444444444445,9.7075,1.3133333333333332,85.0,2.0,21.05361882949422
mp-1008568,22.0,8.0,43.0,44.0,1.0,43.333333333333336,0.44444444444444525,43.357000000000006,2128.0,187.0,2003.3333333333333,83.11111111111109,4.0,4.333333333333333,15.0,165.0,6.666666666666667,160.0,0.20999999999999996,1.47,2.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,23.195,18.858333333333334,2.8911111111111105,16.69,0.0,194.0,0.0,362.1652530843991
mp-971864,8.0,26.76543209876543,20.0,87.0,67.0,69.22222222222223,21.87654320987654,222.02951,1408.0,1353.2,410.6466666666667,443.26814814814816,12.444444444444445,3.5555555555555554,130.0,107.33333333333333,45.925925925925924,66.0,2.06,2.6199999999999997,10.0,2.4444444444444446,3.3580246913580245,13.0,7.0,7.555555555555555,2.419753086419753,2.2222222222222223,2.0,2.0,6.666666666666667,5.9259259259259265,2.0,20.025,13.69888888888889,5.104320987654321,9.105,0.0,34.888888888888886,2.9368350311176825,49.94087058801323
mp-4395,21.0,17.11111111111111,11.0,79.0,68.0,39.666666666666664,26.222222222222218,113.96943800000001,1814.0,602.5999999999999,1551.4666666666665,226.71111111111114,6.666666666666667,4.666666666666667,74.0,161.33333333333334,27.555555555555554,120.0,0.7999999999999998,1.5266666666666666,10.0,3.6666666666666665,4.222222222222222,14.0,11.0,9.333333333333334,4.222222222222222,1.3333333333333333,3.0,4.0,6.0,2.0,4.0,31.7366666667,25.658888888899998,4.051851851866666,22.235,0.12766666666666668,204.33333333333334,0.0,38.5577151611592
mp-11307,12.0,18.0,68.0,70.0,2.0,69.0,1.0,88.106,923.0,328.78,758.61,164.39,7.0,4.0,3.0,142.5,1.5,141.0,0.3799999999999999,1.5,10.0,5.0,5.0,12.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.89,21.192500000000003,1.6974999999999998,19.495,0.0,194.0,0.0,12.333333333333334
