material_id,composition
mp-13548,Cs2 Pt1
mp-1407,Rh3 Se8
mp-14091,Al1 Ag1 Se2
mp-14168,K2 Ge1 F6
mp-1444,Ca1 Cd2
mp-1451,Nb1 Ni3
mp-14600,Ca1 Al2 O4
mp-1500,Ba1 S1
mp-1543,Ge2 Pt1
mp-15637,Zn1 Rh1 F6
mp-15686,Li2 Cu1 As1
mp-1585,V3 Co1
mp-1590,Be12 Cr1
mp-15965,Hf5 Si3
mp-1620,Si2 W1
mp-16266,Ca1 Zn1 Si1
mp-16523,Al3 Pd5
mp-16565,Cd1 Cu2 Sn1 Se4
mp-16733,Sc2 Ga1 C1
mp-16740,Ti1 Ge1 Pd1
mp-16764,Rb1 Y1 Te2
mp-1722,Zn13 Fe1
mp-17413,Ti3 Rh5
mp-17701,Sr2 Nb1 N3
mp-18093,Al2 Mo3 C1
mp-18105,Cs1 Ag1 Se4
mp-1867,Ta2 Ni1
mp-18695,Fe15 Co1
mp-1871,Fe2 C1
mp-18927,Zr3 Ni1 O1
mp-19009,Ni1 O1
mp-19069,Ni1 Ag1 O2
mp-19083,Na1 V1 O3
mp-19102,Sr2 Fe1 O4
mp-19252,K2 Ni1 O2
mp-19276,Ba1 Mo1 O4
mp-1935,Ba1 Mg2
mp-19359,Na1 Fe1 O2
mp-19405,Ni1 Ag2 O2
mp-19722,Mn1 Cu2 Sn1 S4
mp-19870,Ga1 Fe3
mp-19896,Li2 Ge1 Pb1 S4
mp-20,Be1
mp-20098,Ba2 Pb1 O4
mp-20131,Y1 In3
mp-20155,Co1 Sn2
mp-20456,Co3 Se4
mp-20466,Sn7 Ir5
mp-20479,Sr1 In4 Ni1
mp-20481,Mn1 Sn1 Pd2
mp-20566,Mg1 In3
mp-20679,Co3 Sn1 C1
mp-20695,Zr3 In1
mp-20724,Mg2 Pb1
mp-20897,Ba4 Y2 Cu6 O13
mp-20944,Sr2 Pb1 O4
mp-21067,Sc1 In1 Cu2
mp-21167,Ni2 P1
mp-21297,Li1 Sn4 Ru1
mp-21301,Sc1 In1 Ni2
mp-21855,V1 Cu3 Se4
mp-2187,Ti1 Sb1
mp-219,Mo1 P1
mp-22060,Nb3 In1
mp-2225,Be2 Fe1
mp-22284,Sr1 In1 Pt1
mp-22289,Mn2 Co1 Ge1
mp-22320,Ga1 Ru1
mp-22346,Ba1 Ge3 Pt1
mp-22441,Ba2 Mg1 Re1 O6
mp-22568,V3 Ga1
mp-22648,Fe1 Cu2 Sn1 S4
mp-22722,Nb1 Si1 Pd1
mp-22739,Ba1 Fe2 S3
mp-22759,Co1 B1 W1
mp-22978,Rb2 Mn1 Cl4
mp-23053,Pb1 I1 Cl1
mp-23060,Cs2 Pt1 I6
mp-2319,P2 Os1
mp-2352,Na2 O1
mp-2363,Hf1 Mo2
mp-23737,K1 Mg1 H3
mp-23860,Sr1 H1 Cl1
mp-23870,Na1 H1
mp-23922,H1 N1
mp-24066,Sr1 H1 Cl1 O1
mp-24390,Ca1 P1 H1 O4
mp-24723,Ta1 H2
mp-25417,Li1 Ti1 O2
mp-2560,Ti3 Hg1
mp-2624,Al1 Sb1
mp-2664,Ti1 O1
mp-27253,Au2 O3
mp-27693,Sc1 B2 C2
mp-27827,Rb2 Ti1 Cl6
mp-27830,Cs2 Se1 Cl6
mp-27835,K2 Os1 Br6
mp-2784,Na2 Te1
mp-27850,Ti1 N1 Cl1
mp-2794,Fe5 C2
mp-28145,Rb2 Pd1 Cl6
mp-2874,In2 Si2 O7
mp-28797,Y1 H1 Se1
mp-29069,Na1 Cu4 S4
mp-29157,Si3 P2 Pt1
mp-29356,Na1 Ti2 O4
mp-29455,Ga4 Ge1 O8
mp-29463,Li1 Be1 N1
mp-29618,Ni1 P3 W2
mp-2979,Zn1 Ge1 N2
mp-29898,Tl2 Au4 S3
mp-30066,Sb7 Pd20
mp-30208,Y1 Cu1 P2
mp-30356,Sr1 Ag2
mp-30363,Ba1 Au2
mp-30405,Li2 Sn1 Au1
mp-30409,Mn2 Au1
mp-30449,Mg1 Cu1 Bi1
mp-30501,Ti2 Cd1
mp-30726,Y1 Hg3
mp-30745,Ir3 W1
mp-30746,Y1 Ir1
mp-30817,Li1 Al2 Pd1
mp-30834,Sr1 Sn3 Pd1
mp-30840,Ti2 Pd3
mp-30842,Zr1 Pd3
mp-3104,Ba1 Zr1 N2
mp-31187,Ti1 Al1 Fe2
mp-31337,In1 Pd3
mp-31348,Sc2 In1
mp-31452,Zr1 Ni1 Bi1
mp-31458,Ti1 Sb1 Ru1
mp-31459,Ta1 Co1 Sb1
mp-3416,Na3 Al1 F6
mp-34240,Na1 Zn1 As1
mp-34418,Ag1 P1 F6
mp-34903,Mg1 Ge1 P2
mp-3553,K1 Te1 Au1
mp-35869,Ti1 Nb1 N2
mp-365,Mg1 B4
mp-370,Cd1 S1
mp-37473,Ti1 O1 F2
mp-3771,Mg1 Ti1 O3
mp-37879,Li1 Y1 Se2
mp-38843,Ca1 Ta2 O6
mp-3955,Al1 P1 O4
mp-40143,Cs2 K1 Zr1 O1 F5
mp-417,Mn1 Rh1
mp-4170,Na1 Ta1 O3
mp-4343,Sr1 Mn2 As2
mp-4448,Y3 Al1 C1
mp-4475,Tl1 Co2 Se2
mp-46,Ti1
mp-4627,Co1 As1 S1
mp-468,Al1 F3
mp-4691,Ag2 C1 O3
mp-4784,Ca1 Pt1 O3
mp-4953,Cd1 Ge1 As2
mp-4962,Co1 Sb1 S1
mp-504543,Sn1 Pb1 O3
mp-505820,Ni1 P1 S1
mp-5077,Na1 Li2 Sb1
mp-510623,Fe3 C1
mp-5186,Sc1 Ni1 Sn1
mp-5372,Rb1 Fe1 S2
mp-540,Sc1 Fe2
mp-540957,Cs2 Te1 I6
mp-545820,Sn1 O1
mp-5479,Rb1 Al1 F4
mp-550893,Hf1 O2
mp-551830,Sr1 Ti1 O3
mp-552185,Ag1 N1 O3
mp-553243,Y1 Bi2 Br1 O4
mp-553896,K3 Mo1 F6
mp-554352,Ba2 Cu1 F6
mp-554769,Mo1 S1 Br1
mp-555064,Cd1 C2 O4
mp-556536,Na2 Zr1 Cu2 S4
mp-558694,Cs1 Fe1 F3
mp-559051,Ba1 Bi1 O3
mp-559998,Cs1 Os2 O6
mp-560588,Zn1 S1
mp-561242,Ta1 Ag1 S3
mp-561258,Zn1 S1
mp-561480,Na1 Ni1 F3
mp-5670,Li1 Ti2 O4
mp-567278,Sr1 Si6 N8
mp-567347,Li2 Ag1 Sn1
mp-567601,Sr4 C1 N4
mp-567842,Ta1 Be12
mp-567889,Ti1 Ge2
mp-568328,Fe1 P4
mp-568333,K2 Sn1 Br6
mp-568556,Mg2 B24 C1
mp-568711,V1 Pd3
mp-568747,K1 Ni2 Se2
mp-568914,K2 W1 Cl6
mp-568936,Ag2 Se1
mp-568940,Y1 Ni2 P2
mp-568986,K1 Au1 Cl4
mp-569346,Cu1 I1
mp-569360,Hg1
mp-569408,K1 Co2 As2
mp-569581,Bi2 Pt1
mp-569834,Li1 Cu2 Sn1
mp-5699,K2 Cu1 F4
mp-570122,Cr3 Te4
mp-570199,Ti3 Pd5
mp-570436,Ca1 Ir2
mp-570538,Na1 N3
mp-570632,Sc1 Bi1
mp-570690,Si1 C1
mp-570713,Ti1 Al1 Pt1
mp-571102,Tl1 I1
mp-571124,Cs2 K1 Sc1 Cl6
mp-5723,Zr1 Al1 Ni1
mp-5748,Hf1 Al1 Ni2
mp-5971,Y1 B1 Pt2
mp-600561,Li1 Rh1
mp-601820,Fe3 Co1
mp-6073,Mg3 Al2 Si3 O12
mp-613327,Fe1 B2 W2
mp-616440,C1
mp-616559,Ti2 S1
mp-626689,Fe1 H2 O2
mp-631,Ti1 C1
mp-631362,Si1 Te2 Os1
mp-631411,Ca1 Ta2 Tl1
mp-638,Sr1 Zn5
mp-6459,Ca1 Mg1 C2 O6
mp-672287,Li13 Si4
mp-673624,Mg1 Nb2 Pb3 O9
mp-673635,Fe3 N1
mp-675,Zr1 W2
mp-675172,Ta1 Al1 O4
mp-690536,Sr4 Fe4 O11
mp-6908,Y1 Mg1 Zn1
mp-6953,Ca1 Mn2 P2
mp-696,Si1 Pt1
mp-6962,Ba1 As2 Pd2
mp-697068,Si1 Pd2
mp-7067,Ca1 Cd2 As2
mp-7173,Sc1 Sb1 Pt1
mp-72,Ti1
mp-7204,Ca1 Zn1 S1 O1
mp-729,Cr3 Si1
mp-7374,Ba1 Cu2 O2
mp-741,Hf1 O2
mp-7424,B1 Pd2
mp-7429,Ca1 Zn2 Sb2
mp-7432,Sr1 Cd2 Sb2
mp-7474,Cu2 As1
mp-752953,Zr1 Ti2 O1
mp-753315,Mg3 Zn1 O4
mp-753746,Rb2 O1
mp-753798,Rb2 Sn1 O3
mp-7542,Ge1 P3
mp-754483,Na3 Cu2 O4
mp-754759,Y2 O3
mp-754850,Na1 Ti1 S2
mp-755552,Li1 Y1 S2
mp-756018,Ba1 Mg1 O2
mp-757100,Li1 Co1 S2
mp-758052,Li1 Cu1 F3
mp-7582,Ge1 S2
mp-761285,Sc2 V2 O7
mp-762268,Li3 V2 O6
mp-7639,Na2 Cu1 P1
mp-764949,Mn1 F3
mp-766,As2 Ru1
mp-766486,Li1 Cu1 S2
mp-769365,Zn1 Se1 O4
mp-770107,Fe2 Cu1 O4
mp-7785,Cs1 Cu4 S3
mp-7787,Hf1 S1 O1
mp-784630,Ni2 Mo1
mp-7878,Ca1 Ag2 Ge2
mp-7918,Hf1 Ge1 S1
mp-7979,K2 Pd1 F6
mp-8039,Al1 F3
mp-8175,K1 Tl1 O2
mp-8187,K2 Zn1 O2
mp-8207,Zn1 Pt3 O6
mp-8208,Mg1 Pt3 O6
mp-8219,Zr1 Cu2 P2
mp-823,Ti1 Co1
mp-8236,Ba1 P2 Pd2
mp-828,Si1 Ni3
mp-8285,Zn1 Ge1 O3
mp-8335,Ba2 Zr1 O4
mp-8418,Zr1 Co1 P1
mp-85,In1
mp-8511,P1 F5
mp-8606,Ba1 Sb1 Pt1
mp-861738,Ca1 Mg1 Pb1
mp-861900,Li1 Ga1 Au2
mp-861910,Sc3 Hg1
mp-861951,Li1 Ta1 Rh2
mp-862257,Sc2 Zn1 Au1
mp-862288,Al1 Fe2 W1
mp-862297,Li1 Al1 Rh2
mp-862324,Sc2 Ga1 Tc1
mp-862372,Sc2 Ru1 Rh1
mp-862375,Sc2 Tc1 Hg1
mp-862379,Sc2 Tc1 Ag1
mp-862561,Sc1 Sb1 Ru2
mp-862565,Sc1 Br2
mp-862622,Be1 Ru2 W1
mp-862672,Li1 Y2 Rh1
mp-862911,Ti2 Co1 Tc1
mp-8639,Ru1
mp-864670,Ta2 V1 Os1
mp-864932,Mg2 Ag1 Pt1
mp-864940,Mg2 Pt1 Rh1
mp-864945,Mn1 Be2 Rh1
mp-864983,Mn1 V1 Ru2
mp-865030,Hf1 Sc1 Ru2
mp-865038,Hf1 Ta1 Tc2
mp-865155,Mg1 Al1 Rh2
mp-865234,Ta1 Zn1 Ru2
mp-865588,Y2 Cu1 Ru1
mp-865604,Li5 Mg1
mp-865730,Ti1 Zn1 Au2
mp-865810,Ti1 Tc2 W1
mp-865866,Li1 Zr1 Pt2
mp-865868,Li1 Zr1 Rh2
mp-865914,Ti1 V1 Tc2
mp-865964,Li2 Ca1 Sn1
mp-866141,Ti1 Fe2 Si1
mp-866155,Ti1 Al1 Ru2
mp-866156,Y1 Ga1 Rh2
mp-866161,V1 Rh3
mp-866165,Y1 Mg1 Rh2
mp-866183,Ti2 Zn1 Re1
mp-866187,Ti2 Zn1 Tc1
mp-867109,Sc1 Zn2 Ag1
mp-867874,Be1 V1 Ru2
mp-8754,Na1 Li1 Te1
mp-8790,Ba2 Cu1 O3
mp-8922,Cd1 Sb2 O6
mp-90,Cr1
mp-9177,Y2 Al3 Si2
mp-9244,Li1 B1 C1
mp-9258,Si1 O2
mp-9318,K1 Zr1 Cu1 Se3
mp-932,Sc1 Ga3
mp-945,Ni1 Pt1
mp-9514,Mg1 Al2 C2
mp-9566,Sr1 Mg2 Sb2
mp-9574,Na1 Be1 Sb1
mp-9615,Li1 Ti1 S2
mp-961696,Mn1 Co1 Si1
mp-961706,Ti1 Si1 Pt1
mp-961709,Zr1 Pt1 Pb1
mp-9711,Ba2 Si5 N8
mp-971703,V3 Ag1
mp-971837,Zn1 Cd1 Te2
mp-971951,Zr3 Pt1
mp-972827,Si1 Bi1 O3
mp-972899,Sc2 Ga1 Ir1
mp-974883,Rb3 Na1
mp-975206,Rb1 Sb1 O3
mp-975255,Rb1 Pd1 O3
mp-975359,Rb1 Fe2 As2
mp-975439,Mn3 S1
mp-976010,Li3 Cr1
mp-976600,Li1 Hf2 Tc1
mp-976772,Ni1 Ag3
mp-977112,Na1 Sr1 O3
mp-977123,Na1 Ti1 O3
mp-977128,Na1 Ru3
mp-977182,Na1 Nb3
mp-977363,Ta2 Tc1 Mo1
mp-977401,Nb1 Ga1 Ru2
mp-977563,Li1 Nb1 Ir2
mp-978271,Mg3 Al1
mp-978277,Mg3 Cr1
mp-978546,Sc3 Sb1
mp-978862,Sr1 Al1 O3
mp-979267,Ta2 Fe1 Mo1
mp-9812,Zn1 C1 O3
mp-982637,Na3 Mg1
mp-982873,Na3 Tl1
mp-984717,Be1 Ni3
mp-989541,Rb2 Na1 Sb1 F6
mp-989553,Cs2 Tl1 Ga1 H6
mp-989590,Ca6 Sn2 N1 F1
mp-989613,Ti1 P1 N3
mp-989644,Cs2 Na1 Ca1 Cl6
mp-9918,Li1 Ge1
mp-9919,Li1 Zn1 Sb1
mp-996965,Ag1 Bi1 O2
mp-997054,Cu1 Bi1 O2
mp-997082,Bi1 Au1 O2
mp-998418,Mg1 Ag1 F3
mp-999337,Ni1 H1 O2
mp-999503,Mo1 N1
mp-999542,Mn1 Fe3
mp-999550,Mn3 Ga1
mp-999558,Mn2 Si1 Ni1
mvc-11052,Al1 Sn1 O3
mvc-11229,Y1 Fe1 O3
mvc-11780,Mo1 S2
mvc-13158,Ca1 V1 O3
mvc-15272,Ca2 Co1 N2
mp-1001011,Ta1 O3
mp-10020,Sc1 C1
mp-10052,Ti1 As1
mp-1007656,Hf1 Pd3
mp-1007778,Tl1 N1
mp-1007881,Fe1 B1
mp-1008224,Cr1 Co2 Si1
mp-1008483,Cd1 N1
mp-1008506,Ba1 Ga1 Si1 H1
mp-1008530,Al1 V1 Fe1 Co1
mp-1008876,Mn1 Co1 S1
mp-1008922,Cu1 N1
mp-1009770,Ru1 N1
mp-1009819,Sr1 O1
mp-1009848,Tc1 C1
mp-1013588,Sr3 Sb1 P1
mp-1013712,Ba3 Sb1 P1
mp-1013911,Na2 Co1 P2 O7
mp-1014229,Ti2 Zn1
mp-1014230,Ti1 Zn1
mp-1016902,Zn1 Sn1 O3
mp-1018032,Sr1 Cd1 O2
mp-1018079,Cr1 Ga1 P2
mp-1018085,Co1 Sn1 Rh2
mp-1018124,Ti2 Rh1
mp-1018166,Al1 Tc2
mp-1019319,Tc1 N1
mp-1019380,Al3 B1 N4
mp-1021503,Si1 O2
mp-1025067,Re1 Ge2
mp-1025176,Hf1 Ga5 Ni1
mp-1025192,Ta4 C3
mp-1025220,Si1 Ag1 Pt5
mp-1025265,Cs2 Cu1 F4
mp-1025282,Ti1 V2 Te4
mp-1025304,Zr1 Ti2 Ga4
mp-1025313,Ti1 Ga5 Ni1
mp-1025557,Co1 Mo1 P2
mp-1028,V3 Te4
mp-10284,Y1 Si3 Ni1
mp-10289,Ca1 B2 C2
mp-1029404,K1 Ge2 N3
mp-1029407,Na1 Cr1 N2
mp-1029522,Li7 Sb1 N4
mp-1029605,Na2 Mn1 N2
mp-1029737,Ca4 V1 N4
mp-1029739,Li6 Fe1 N4
mp-1032,Ta2 B1
mp-1038724,Ca2 Mg1
mp-10390,Ta2 O5
mp-10440,Mg1 P4 Rh6
mp-10497,Sr1 C2
mp-10615,Ba1 Li1 P1
mp-1105,Ba1 O2
mp-11147,Na5 Cu1 S1 O2
mp-112,Y1
mp-11220,Sc2 Al1
mp-11266,Ba1 Cd2
mp-11279,Ti1 Be1
mp-11328,P2 W1
mp-1135,Nb1 Pd3
mp-11387,Hf1 Ga3
mp-11412,Sc1 Ga2
mp-11508,Mo1 P4
mp-1152,Ti1 Rh3
mp-11541,Zr1 Os1
mp-1156,Ga1 Sb1
mp-11566,Sc1 Zn1
mp-11697,Ta1 Sb2
mp-11765,Ti5 Se4
mp-1180,Mn1 Pt3
mp-11809,Ti1 Al2
mp-11834,Cu1 Ni1 Sb2
mp-1201,Sb2 Te3
mp-1203,Ti1 O1
mp-1229,Cu1 F2
mp-12537,Ti2 Ga1 C1
mp-12558,Li1 Mg1 As1
mp-12631,Sr1 Tc1 O3
mp-12657,Hf1 Al2
mp-1272,Cr3 Ru1
mp-12777,Al1 Cu3
mp-12802,Al1 Cu3
mp-12951,Zr1 Ga1 Au1
mp-13090,Y1 Mg1 Al1
mp-13164,Ti2 Pd1
mp-13495,Zr1 Pd1
mp-13572,Sc1 Si1 Pt2
mp-13798,K2 Na1 Tl1 F6
mp-13962,Hf1 Si1 Se1
mp-14088,Rb2 Pd1 F6
mp-1437,Li1 Cd1
mp-14398,Ca1 Sn1 B2 O6
mp-1474,Re3 P4
mp-1513,Co9 S8
mp-1534,Y1 S1
mp-1559,Mg3 N2
mp-15617,Cr5 B3
mp-15701,Mg1 Si1 N2
mp-15788,Li1 Y1 S2
mp-15800,Ti3 P1 O2
mp-15837,Nb5 Se4
mp-16305,Sc1 P1 Ru1
mp-16321,Sr1 Cu1 P1
mp-16483,Ba1 Al9 Fe2
mp-16488,Al9 Co2
mp-16765,Zr2 Te2 P1
mp-1677,Be2 Mo1
mp-1705,Sb2 O5
mp-1718,Zr1 Fe2
mp-1746,Mg1 F2
mp-17481,Mg4 Ta2 O9
mp-1775,Sn1 Au1
mp-182,Sr1 Ga2
mp-18316,Mg2 Pd1
mp-1851,Sn1 Pd2
mp-18707,Mg3 Pt1
mp-18762,Na4 Co1 O3
mp-18773,W1 O3
mp-18793,Li1 Cr1 O2
mp-18912,Na5 Ni1 S1 O2
mp-18949,V1 Fe1 O4
mp-19120,Mg1 Cr1 O4
mp-19141,K6 Co2 O7
mp-1918,Fe1 Rh1
mp-1938,Al2 O3
mp-1963,Nb1 Rh1
mp-19746,Nb1 Pb1 S2
mp-19809,Mn1 Co1 Si1
mp-19833,In1 Ag1 S2
mp-19871,Pb1 Au2
mp-19917,Zr1 Si1 Te1
mp-19928,Hf2 Cu1 Sb3
mp-20061,Ge1 Pt2
mp-20083,Sc1 Cu1 Si1
mp-20144,Nb1 Cr1 P1
mp-20197,Cr2 Ga1 C1
mp-20265,Li1 In2 Pt1
mp-2031,Be2 Cu1
mp-20533,Sr1 In2 Pt1
mp-20539,Sc1 In3
mp-20565,Mn1 Co1 Ge1
mp-2059,Nb1 As1
mp-20619,Sb1 Rh1
mp-20741,Re1 O3
mp-2075,Si3 N4
mp-20840,Mn1 Co2 Sn1
mp-20847,Ti5 Sn3
mp-20857,Co1 B1
mp-21092,In1 Ni2
mp-21104,Hf5 Sn3
mp-21117,Fe1 Ge2
mp-2114,Y1 N1
mp-21249,Y1 Mn1 Si1
mp-2125,Te1 O2
mp-21286,Mn1 Co1 Ge1
mp-21294,Y2 In1
mp-21359,Sb1 Rh2
mp-21765,Pd17 Se15
mp-21873,Ni1 As2
mp-22150,Zr2 In1 Co2
mp-22216,In2 S3
mp-2222,Mn1 Hg1
mp-22240,Mn1 As1
mp-22418,Sr3 Sn4 Ir4
mp-22463,Ti1 In1 Ni2
mp-22508,Y1 Mn12
mp-2251,Li3 N1
mp-22522,Zr1 Cu1 Si1
mp-2254,Al2 O3
mp-22673,Mn1 In1 Cu2
mp-22793,Al1 Fe3 C1
mp-22936,Ca2 N1 Cl1
mp-22950,Cs1 Ni1 Cl3
mp-22957,Sr1 Cl1 F1
mp-22977,Cs1 V1 Cl3
mp-23034,Sr1 Zn1 Cl4
mp-23141,Sr5 P3 Br1 O12
mp-23143,Ca2 Cu1 Cl2 O2
mp-23159,Sr1 Bi3
mp-23195,Bi2 O3
mp-23237,Bi1 F3
mp-23251,K1 Br1
mp-23339,Na1 Br1 O3
mp-23485,Ag2 Hg1 I4
mp-2360,Ca1 Ge1
mp-2369,Sn1 Pd1
mp-23703,Li1 H1
mp-23711,Mg1 H2
mp-23797,Li1 H6 Cl1 O7
mp-2395,Sb3 Rh1
mp-2426,Li1 Ag1
mp-2444,Ga1 Rh1
mp-2490,Ga1 P1
mp-2507,Ga1 S1
mp-2542,Be1 O1
mp-2619,Fe1 Sb1
mp-2675,Mg1 Ni2
mp-2700,Ca1 Si2
mp-2701,Nb1 N1
mp-2726,Sr1 Cu5
mp-27319,Sc2 Co3 Si1
mp-27360,Re1 Bi1 O4
mp-27505,Fe3 Sn2
mp-27707,Rb1 Co1 Cl3
mp-279,Li1 Ir1
mp-2797,Y1 Cu5
mp-2807,Sc1 P1
mp-28254,Li1 Ru1 O2
mp-2827,Y1 Co5
mp-2828,Hf1 N1
mp-28395,B6 P1
mp-2851,V1 Sb2
mp-28711,Sb2 S2 O1
mp-28843,Tl2 Sn1 Te5
mp-29011,Bi1 Te1 Pd1
mp-29136,Sr6 Cu3 N5
mp-29398,Cs2 Hf1 I6
mp-29900,Ni1 Ge2
mp-30147,Zr1 Ti1 As1
mp-30175,Ca1 Al2 Zn2
mp-30177,Y1 Al8 Cr4
mp-30337,Al5 W1
mp-30493,Zn1 Cd1 Pt2
mp-30566,Ti2 Co1
mp-30571,Tl2 Au1
mp-30655,Ga4 Ni3
mp-30719,Mg2 Hg1
mp-30766,Li5 Sn2
mp-30785,Mn3 Pt1
mp-31349,Sr3 In1
mp-3138,Na8 Sn1 Sb4
mp-3163,Ba1 Sn1 O3
mp-3207,Sr1 Ni2 Ge2
mp-321,Rh1 Pb2
mp-33137,Tc1 O2
mp-3522,Mg1 Cu1 Sb1
mp-3574,Mn1 Al1 Cu2
mp-36086,Li3 Nb1 O4
mp-3748,Al1 Cu1 O2
mp-37906,Li1 Mg1 N1
mp-380,Zn1 Se1
mp-3803,Ta4 Al1 C3
mp-3805,Al1 Fe2 B2
mp-3813,Ba2 Zr1 S4
mp-3887,Li3 Ga1 N2
mp-3896,Y1 Si2 Ir2
mp-3917,Cd2 Ge1 O4
mp-3938,Zr1 Si1 S1
mp-4019,Ca1 Ti1 O3
mp-404,Mn1 Te1
mp-415,Ir1 N2
mp-4182,Cr1 Ag1 S2
mp-4230,Sc3 Tl1 C1
mp-4280,Ga1 Cu1 O2
mp-4355,Y1 Ti1 O3
mp-4387,Sr1 Zr1 O3
mp-4452,Cd1 Ga2 S4
mp-4471,Sc1 Al1 O3
mp-4584,Tl3 B1 O3
mp-4728,Cu2 Ge1 Se3
mp-475,Sn1 P1
mp-4820,Zr1 Si1 O4
mp-488,Cu1 Se1
mp-4964,Y1 Sb1 Pt1
mp-4990,Mn1 Sn1 Rh2
mp-4998,Sr2 Ir1 O4
mp-504,Cu1 S1
mp-5046,Be1 S1 O4
mp-504691,Li1 Mn1 P1
mp-504729,Cs2 Pd1 F6
mp-505780,Ge7 Ir3
mp-505782,Cs2 S1 O4
mp-5076,Sr1 Zr1 O3
mp-51,Li1
mp-510436,In1 Pd3
mp-5126,Zn1 S1 O4
mp-5222,Re1 Te1 S1
mp-531611,Mg1 Al2 B28
mp-540791,Si4 Rh3
mp-541289,Y2 S3
mp-541754,Ti1 Cu2 Te3
mp-5419,Li1 Ga2 Ir1
mp-545512,Ca1 O1
mp-545974,Al1 P1 O4
mp-553946,Co1 As1 S1
mp-5541,Zr1 V1 Si1
mp-555370,V1 Mo2 S4
mp-557257,K1 V1 F3
mp-557259,Mo1 F6
mp-557373,Cu2 W1 S4
mp-5589,Sr1 Mn2 P2
mp-559435,Co1 F3
mp-560767,K1 Na1 Ti1 O3
mp-5637,Sr1 Zn1 O2
mp-567191,Ca1 Al1 Si1
mp-567244,Mg2 Tl1
mp-567769,Ca1 Si2 Pd2
mp-568505,As4 C3
mp-568565,Cr1 As1
mp-568735,Si1 C1
mp-569152,Sn1 Cl2
mp-569249,Ta3 Au1
mp-569446,Ni1 Pb1
mp-569671,Zr1 Sb1
mp-569683,In1 Au3
mp-570677,Ba5 Al5 Sn1
mp-570689,Ca1 In1 Pt1
mp-570691,Ti3 Sn1
mp-570751,Nb3 Te1
mp-570791,Si1 C1
