material_id,E,U,Y,El
mp-21211,167.5145393,561.9364,658.42,23.54576081
mp-1667,182.2597169,560.6884,602.67,23.37218473
mp-2028,295.1296672,433.22,412.35,14.14183206
mp-3576,201.815265,673.2076,1136.9,18.3171289
mp-258,123.0394542,316.44,573.75,17.44731187
mp-27919,300.1694702,566.146,827.15,13.59464301
mp-862561,184.4625066,485.014,648.355,19.26681615
mp-1373,188.9731275,436.4296,615.905,19.53673232
mp-2574,206.5806293,408.098,467.75,13.44087565
mp-977572,199.9327328,553.8892,537.6,20.53300675
mp-998974,193.4007383,460.9888,860.5,17.64758745
mp-10463,217.5952499,595.686,1157.05,17.69026928
mp-2018,211.6329235,560.494,671.57,20.52108276
mp-971752,184.1128873,388.05,411.47,20.43804806
mp-20516,150.8872733,372.4856,488.17,29.13434168
mp-571163,153.6724582,453.572,493.47,20.25326809
mp-999439,137.2245536,334.262,505.3,19.55465948
mp-644280,163.6940474,467.092,462.32,30.09830248
mp-20191,256.7241322,411.0432,525.6,19.63345832
mp-11457,175.7197959,545.3324,530.7,24.05662981
mp-867326,255.696476,441.4428,523.975,18.77484084
mp-641526,239.1566458,492.926,542.22,22.28640906
mp-10003,230.6171665,547.6908,638.5,16.36737986
mp-830,315.5625441,229.6848,419.78,24.99695775
mp-20541,256.6361826,391.4216,644.05,14.32134794
mp-1007761,196.358257,561.8892,500.75,15.38082157
mp-567981,209.5129041,1170.884,628.92,20.26965852
mp-754698,215.4024133,484.1036,514.9,14.76740401
mp-862694,255.5900834,481.282,520.375,20.99263698
mp-865650,233.9425435,1014.896,716.45,16.7372446
mp-861639,225.0522552,639.1144,826.75,15.71745419
mp-160,399.3223754,256.7704,195.9,19.28522527
mp-2033,182.8275439,629.2864,636.59,22.84390456
mp-865989,274.7503132,482.7468,494.675,19.27574879
mp-570436,133.7289739,538.8512,400.805,21.12304519
mp-1016883,134.8188409,381.322,384.57,14.70576359
mp-568803,397.8800207,330.0032,352.575,10.00096792
mp-1025187,170.4489652,520.3684,354.905,28.05140797
mp-102,279.7781365,300.012,241.515,25.46219433
mp-11275,304.4703577,432.4884,374.405,14.79043192
mp-15701,339.2370941,351.0936,226.995,8.879275696
mp-21163,160.3215595,505.4696,441.4,28.00972626
mp-30570,228.7310111,1156.672,727.17,20.35436451
mp-632311,186.7906167,610.66,550.95,14.77597472
mp-866284,290.927176,481.6212,482.525,22.9446933
mp-1649,137.7047461,1257.15,647.3,26.81797896
mp-2260,213.0984292,591.7252,397.37,30.37438871
mp-996161,339.804993,599.8564,559.99,12.22651321
mp-229,248.9179798,440.7584,595.1,18.88498358
mp-1019740,349.5559059,304.4744,436.85,20.48962684
mp-4820,257.1149984,345.2112,401.045,15.1791412
mp-1867,205.6217695,600.5684,793.2,27.58948431
mp-672259,268.1566648,1137.008,505.7,17.24216329
mp-8062,433.4422836,347.626,327.15,21.8145415
mp-999389,248.5466551,1200.814,641.15,23.36961628
mp-2287,233.7948132,460.4604,454.955,22.94887467
mp-1918,275.7336405,496.868,457.8,25.32141505
mp-607111,226.2587836,547.7392,468.47,28.30117181
mp-30851,245.5756089,589.0228,519.6,26.84337887
mp-861882,218.4572668,591.236,408.555,20.51978248
mp-982725,278.1637607,502.0804,549.6,21.59168717
mp-867116,257.5576163,524.9024,375.27,22.05252852
mp-1001023,358.2081312,389.2264,284.53,10.3546074
mp-18468,300.1860438,517.3624,480.205,18.36664315
mp-568077,238.746957,686.4984,860.95,21.31611828
mp-999390,211.9227484,341.804,546.3,19.39496887
mp-1009458,352.56517,617.036,566.94,13.56479122
mp-6933,176.7082004,411.966,443.225,18.97637175
mp-1128,269.6182546,512.7732,490.46,25.18655502
mp-10136,410.8921227,556.0088,578.37,13.52391314
mp-867837,252.9136209,507.416,421.55,11.49563929
mp-574,225.9810292,587.1344,727.25,27.35087044
mp-972326,273.9713745,394.5072,415.97,27.61018715
mp-28786,255.3347505,518.6144,342.925,26.29845092
mp-1994,485.9772047,553.8612,444.97,13.41532335
mp-865485,290.1186829,506.9424,519.45,19.76533759
mp-1601,262.3221162,539.2644,506.25,26.5818214
mp-10057,422.4259,481.4384,669.89,12.79529595
mp-20857,324.343848,474.5728,521.24,17.51369035
mp-1009818,366.8841721,232.85,289.84,21.80457239
mp-865022,416.8151012,461.2984,504.455,27.47479938
mp-1232,304.1667207,442.0768,599.55,25.35790297
mp-48,666.0829493,241.4744,188.18,21.80610572
mp-1001826,522.2538227,469.1788,560.1,14.53784179
mp-569803,392.4763037,514.4076,508.805,14.30152548
mp-563,787.2060855,237.644,328.45,21.80313678
mp-1279,449.8838616,597.4824,610.45,17.75027648
mp-1009731,541.8035555,591.1324,474.605,21.81105253
